Company Name,Address,Phone Number,Latitude,Longitude,Google Place ID,Review Summary,Average Rating,Review Texts,Business Website,Business Status
Billod SA,"Chemin du Devin 4, 1681 Billens, Billens-Hennens, Fribourg, Switzerland",+1 26 652 26 36,46.6904992,6.889878299999999,ChIJd33MT8h-jkcRHDiikKarrFc,5 reviews,4.4,I hired them for sanitary renovations. They listened and were able to do all the necessary work so t; Calm,http://www.billod.ch/,OPERATIONAL
Federer Elektrotechnik AG,"Unterdorfstrasse 6, 9413 Oberegg, Oberegg, Appenzell Innerrhoden, Switzerland",+41 71 891 32 11,47.4227228,9.5539761,ChIJv7Uk2GcXm0cR0zoCge_B5Vg,3 reviews,5.0,,https://elektrofederer.ch/,OPERATIONAL
Alois Rickenbach AG,"Landstrasse 31, 5073 Gipf-Oberfrick, Gipf-Oberfrick, Aargau, Switzerland",+41 62 865 60 70,47.4988963,8.0050712,ChIJ3_M_JORHkEcR-1DnU_ycKh0,5 reviews,4.8,"Super; Always great service. Today I bought a neon tube here and had problems with it at home. Back at the ; They are always on time, very competent and simply TOP reliable and trustworthy.
You can deposit the; Competent and friendly advice; Very friendly and just fine. The employees know their trade.",https://rickenbach-elektro.ch/,OPERATIONAL
Telefon und Elektro AG,"Sumpfstrasse 13 6312 Steinhausen / Zug, Steinhausen, Zug, Switzerland",+41 41 748 40 80,47.1861185,8.488553999999999,ChIJvRWXdGeqmkcR-Y21qMwxsNg,3 reviews,5.0,"Connect tumbler

I can highly recommend Landtwing. Competent, quick response to inquiries, the work ; reliable, fast and friendly",http://www.landtwing.ch/,OPERATIONAL
Clevergie AG,"Moosli 307, 4954 Wyssachen, Wyssachen, Bern, Switzerland",+41 62 966 00 66,47.08916,7.824248799999999,ChIJo68ogx7Rj0cReJvTwQC3FPc,5 reviews,4.2,In April 2020 we had a photovoltaic system installed by Clevergie AG. The system was installed and p; Caution! Anyone who asks for an offer will first receive the information and will have to pay CHF 20; Great weekend event. Congratulations!,https://clevergie.ch/,OPERATIONAL
Phida Invest SA,"Av. de Longemalle 21, 1020 Renens 1, Renens, Vaud, Switzerland",+41 21 637 31 31,46.5262709,6.5952142,ChIJGaw7TLYxjEcRoepgDw0r6-M,1 reviews,5.0,,http://www.phida-groupe.ch/,OPERATIONAL
Bieri Haustechnik AG,"Austrasse 3, 2540 Grenchen, Grenchen, Solothurn, Switzerland",+41 32 655 10 00,47.1847861,7.3816292,ChIJg6pOc1kgjkcRBBzFDOhBtfI,5 reviews,4.2,"I called to get a non-binding quote for a heat pump.
Unfortunately you refused to make an offer beca; Always happy again - excellent employees - great boss 👍👍👍; Friendly reception, clean work, correct prices",https://www.bierihaustechnikag.ch/,OPERATIONAL
Gruter Hans AG,"Langgasse 2 CH-6208 Oberkirch, Oberkirch, Luzern, Switzerland",+41 41 925 81 41,47.1515113,8.115440099999999,ChIJXbUCv8EfkEcRLCXY6hiodE8,5 reviews,4.2,"On Saturday around 10:00 p.m. we had a leaking boiler which turned our basement into a ""stalactite c; Super friendly, clean, quick, uncomplicated, even the workers; From the offer to the execution, it's simply top notch.

This means that the offer was sent to us in; A model company in the truest sense.
The women Schmidiger and Fassbin are very attentive and helpful; On April 19, a driver from Grüter Hans AG almost ran me over at a zebra crossing. I don't think it's",https://www.grueterag.ch/home,OPERATIONAL
Fluckiger Electricite,"Ch. de la Plage 16, 2072 Saint-Blaise, Saint-Blaise, Neuchatel, Switzerland",+41 32 755 05 00,47.0117801,6.9846944,ChIJ0dNBa28JjkcREXL4ZDmQ4Rw,5 reviews,4.4,"A company at the highest level.
Personally I recommend it to you.
Cordial greetings.
Joël JCL Joray; Always well received when delivered 🚚; A top team; professional technician",https://www.fluckigersa.ch/,OPERATIONAL
Eglin Holding AG,"Neumattstrasse 2, 5000 Aarau, Aarau, Aargau, Switzerland",+41 56 2224484,47.3981078,8.0672734,ChIJbexH0iv9-G0RpmTc-Fu703w,No reviews,0.0,,http://www.eglingroup.ch/,OPERATIONAL
